age_cl,anveh_cl,ns_bg,cs_bg,franchise,anc_perm_cl,zone_bg,Formule,id
d.36-50,a.0-3,1,39,OUI,e.>40,3,Maxi,158834
b.21-25,b.4-11,1,39,OUI,a.<=5,1,Maxi,169407
f.>=70,c.>=12,1,40,NON,e.>40,3,Medi,3218
b.21-25,c.>=12,1,40,OUI,a.<=5,3,Medi,5051
d.36-50,b.4-11,1,40,NON,e.>40,1,Maxi,25962
f.>=70,b.4-11,1,40,NON,e.>40,5,Maxi,42460
e.51-69,b.4-11,1,40,NON,e.>40,2,Maxi,55829
d.36-50,c.>=12,1,40,OUI,e.>40,2,Mini,59993
d.36-50,b.4-11,1,40,OUI,d.21-40,5,Medi,70543
e.51-69,b.4-11,1,40,NON,e.>40,4,Maxi,75279
e.51-69,b.4-11,1,40,NON,e.>40,4,Maxi,105389
d.36-50,c.>=12,1,40,NON,e.>40,3,Medi,112009
d.36-50,b.4-11,1,40,OUI,e.>40,4,Maxi,132940
e.51-69,b.4-11,1,40,OUI,e.>40,4,Maxi,134370
d.36-50,b.4-11,1,40,OUI,e.>40,4,Maxi,154678
d.36-50,b.4-11,1,40,OUI,e.>40,3,Maxi,157655
c.26-35,b.4-11,1,40,NON,c.11-20,3,Maxi,166401
f.>=70,b.4-11,1,40,NON,e.>40,4,Maxi,204558
d.36-50,b.4-11,1,40,NON,e.>40,1,Maxi,213713
e.51-69,b.4-11,1,40,NON,e.>40,2,Maxi,214912
e.51-69,b.4-11,1,41,NON,e.>40,3,Maxi,9824
d.36-50,a.0-3,1,41,OUI,e.>40,2,Maxi,27073
c.26-35,b.4-11,1,41,NON,b.6-10,2,Maxi,71665
c.26-35,c.>=12,1,41,OUI,b.6-10,3,Medi,142384
d.36-50,c.>=12,1,41,NON,e.>40,2,Medi,146784
b.21-25,b.4-11,1,41,OUI,a.<=5,2,Medi,183448
d.36-50,a.0-3,1,41,NON,e.>40,3,Maxi,205711
e.51-69,a.0-3,1,41,NON,e.>40,3,Maxi,208042
d.36-50,b.4-11,1,41,NON,c.11-20,4,Maxi,217597
d.36-50,b.4-11,1,41,NON,c.11-20,3,Maxi,218976
e.51-69,c.>=12,1,42,NON,e.>40,2,Medi,5284
e.51-69,c.>=12,1,42,NON,e.>40,3,Maxi,10957
d.36-50,a.0-3,1,42,NON,c.11-20,2,Maxi,52926
d.36-50,b.4-11,1,42,OUI,d.21-40,3,Maxi,72439
d.36-50,c.>=12,1,42,OUI,c.11-20,4,Maxi,118246
e.51-69,b.4-11,1,42,NON,e.>40,1,Maxi,128984
